Technology,Technology_name_OSeMOSYS,CF,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Wind,WI,0.25,1375.893614,1375.893614,1375.893614,1375.893614,1311.785125,1247.676635,1183.568146,1119.459656,1055.351167,991.2426773,927.1341878,863.0256983,798.9172088,734.8087193,670.7002298,662.3164769,653.9327241,645.5489712,637.1652183,628.7814654,620.3977126,612.0139597,603.6302068,595.246454,586.8627011
Comm PV,SOMG,0.2,1806.462617,1806.462617,1806.462617,1806.462617,1762.429583,1656.219311,1550.009038,1443.798765,1337.588492,1231.378219,1125.167946,1018.957673,912.7474005,806.5371276,700.3268548,691.3006006,682.2743464,673.2480923,664.2218381,655.1955839,646.1693298,637.1430756,628.1168214,619.0905673,610.0643131
PV,SOPV,0.21,2773.343622,2773.343622,2773.343622,2773.343622,2710.138689,2517.271547,2324.404406,2131.537264,1938.670123,1745.802981,1552.93584,1360.068698,1167.201557,974.3344151,781.4672735,769.5785479,757.6898223,745.8010967,733.9123711,722.0236455,710.1349199,698.2461942,686.3574686,674.468743,662.5800174
Battery,4r,8r,4588.915218,4588.915218,4588.915218,4588.915218,4330.02199,4025.252597,3720.483204,3415.713811,3110.944418,2806.175025,2653.546877,2500.918729,2348.290581,2195.662433,2043.034285,2003.061875,1963.089465,1923.117055,1883.144645,1843.172235,1803.199825,1763.227416,1723.255006,1683.282596,1643.310186
Battery,4c,4c,1974.519493,1974.519493,1974.519493,1974.519493,1537.879546,1429.635612,1321.391678,1213.147743,1104.903809,996.6598748,942.4514418,888.2430088,834.0345757,779.8261427,725.6177097,711.4208415,697.2239732,683.027105,668.8302368,654.6333685,640.4365003,626.2396321,612.0427638,597.8458956,583.6490274
