,pointid
0,1.0
1,5.0
2,6.0
3,8.0
4,11.0
5,16.0
6,17.0
7,20.0
8,21.0
9,32.0
10,33.0
11,34.0
12,39.0
13,42.0
14,43.0
15,44.0
16,48.0
17,49.0
18,51.0
19,52.0
20,58.0
21,60.0
22,72.0
23,73.0
24,74.0
25,87.0
26,88.0
27,91.0
28,92.0
29,93.0
30,94.0
31,97.0
32,100.0
33,105.0
34,106.0
35,108.0
36,109.0
37,110.0
38,112.0
39,114.0
40,116.0
41,117.0
42,120.0
43,122.0
44,123.0
45,126.0
46,127.0
47,131.0
48,134.0
49,140.0
50,143.0
51,144.0
52,145.0
53,147.0
54,148.0
55,149.0
56,153.0
57,160.0
58,161.0
59,162.0
60,163.0
61,164.0
62,165.0
63,166.0
64,167.0
65,168.0
66,171.0
67,172.0
68,173.0
69,174.0
70,178.0
71,179.0
72,180.0
73,181.0
74,182.0
75,183.0
76,184.0
77,185.0
78,186.0
79,187.0
80,188.0
81,189.0
82,190.0
83,192.0
84,193.0
85,197.0
86,198.0
87,199.0
88,200.0
89,201.0
90,202.0
91,203.0
92,204.0
93,205.0
94,206.0
95,207.0
96,208.0
97,209.0
98,215.0
99,216.0
100,217.0
101,218.0
102,219.0
103,220.0
104,221.0
105,222.0
106,223.0
107,224.0
108,225.0
109,226.0
110,227.0
111,228.0
112,229.0
113,232.0
114,233.0
115,235.0
116,237.0
117,238.0
118,239.0
119,240.0
120,241.0
121,242.0
122,243.0
123,244.0
124,245.0
125,246.0
126,247.0
127,248.0
128,249.0
129,251.0
130,252.0
131,253.0
132,257.0
133,258.0
134,259.0
135,260.0
136,261.0
137,262.0
138,263.0
139,264.0
140,265.0
141,266.0
142,267.0
143,268.0
144,269.0
145,270.0
146,271.0
147,277.0
148,278.0
149,279.0
150,280.0
151,281.0
152,282.0
153,283.0
154,284.0
155,285.0
156,286.0
157,287.0
158,288.0
159,291.0
160,292.0
161,297.0
162,298.0
163,299.0
164,300.0
165,301.0
166,302.0
167,303.0
168,304.0
169,305.0
170,310.0
171,314.0
172,315.0
173,316.0
174,317.0
175,318.0
176,319.0
177,320.0
178,321.0
179,322.0
180,327.0
181,330.0
182,331.0
183,332.0
184,333.0
185,334.0
186,335.0
187,336.0
188,341.0
189,342.0
190,343.0
191,344.0
192,345.0
193,346.0
194,347.0
195,352.0
196,353.0
197,354.0
198,355.0
199,358.0
200,359.0
201,360.0
202,361.0
203,362.0
204,363.0
205,364.0
206,365.0
207,366.0
208,367.0
209,368.0
210,369.0
211,370.0
212,371.0
213,373.0
214,374.0
215,375.0
216,376.0
