Fuel,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EL3_1_0,0,0,0,0,0,0.442268389,0.937608986,1.490798287,2.106994913,2.791768259,3.551129226,4.391563142,5.320065064,6.344177589,7.472031382,7.920353265,8.395574461,8.899308929,9.433267465,9.999263512,10.59921932,11.23517248,11.90928283,12.6238398,13.38127019
EL3_1_1,0.520714992,0.574145953,0.612769818,0.629283715,0.645194114,0.700578258,0.755210712,0.801821352,0.856454763,0.91392096,0.982743214,1.057232368,1.143162723,1.236320204,1.351908931,1.471118449,1.601306714,1.729132398,1.871318769,2.026264099,2.20558811,2.366430442,2.596230699,2.812296175,3.039849754
EL3_2_0,0,0,0,0,0,0.111564101,0.236515894,0.376060272,0.531498518,0.704235536,0.895787602,1.107790667,1.342009265,1.600346049,1.884852013,1.997943134,2.117819722,2.244888905,2.37958224,2.522357174,2.673698605,2.834120521,3.004167752,3.184417817,3.375482886
EL3_3_0,0,0,0,0,0,0.072888678,0.154523997,0.245693156,0.347246327,0.460101383,0.58524896,0.72375788,0.876780975,1.045561312,1.231438879,1.305325212,1.383644724,1.466663408,1.554663212,1.647943005,1.746819585,1.851628761,1.962726486,2.080490075,2.20531948
EL3_4_0,0,0,0,0,0,0.120476146,0.255409429,0.406100992,0.573956069,0.760491791,0.967345558,1.196284007,1.449212625,1.728186055,2.035419132,2.15754428,2.286996937,2.424216753,2.569669758,2.723849944,2.88728094,3.060517797,3.244148864,3.438797796,3.645125664
EL3_5_0,0,0,0,0,0,0.200549731,0.425165431,0.676013035,0.955431756,1.265947076,1.610284681,1.991385389,2.412421156,2.876812229,3.388245514,3.591540245,3.80703266,4.035454619,4.277581897,4.53423681,4.806291019,5.09466848,5.400348589,5.724369504,6.067831675
EL3_5_1,0.693957893,0.765165439,0.816639541,0.838647643,0.859851464,0.933662021,1.0064708,1.068588891,1.141398946,1.217984259,1.309703812,1.408975655,1.523495208,1.647646366,1.80169169,1.960562448,2.134064605,2.304418145,2.493910201,2.700406147,2.939391609,3.153746501,3.460001755,3.74795264,4.051213741
EL3_6_0,0,0,0,0,0,0.11456306,0.242873687,0.386169163,0.54578575,0.723166119,0.919867304,1.137569232,1.37808387,1.643365015,1.935518796,2.051649923,2.174748919,2.305233854,2.443547885,2.590160758,2.745570404,2.910304628,3.084922906,3.27001828,3.466219377
EL3_6_1,1.22868152,1.354757464,1.445894516,1.484860784,1.522403036,1.65308772,1.781998713,1.891981395,2.020894648,2.156492153,2.318885463,2.494650419,2.697412085,2.917226912,3.18997061,3.471257943,3.77845078,4.080068859,4.415572482,4.781182204,5.204315976,5.583840293,6.126078049,6.635907153,7.172843636
EL3_8_0,0,0,0,0,0,0.273798131,0.580452037,0.922918739,1.304391817,1.728319158,2.198421969,2.718715168,3.293529233,3.92753361,4.625761807,4.903307516,5.197505967,5.509356325,5.839917704,6.190312766,6.561731532,6.955435424,7.37276155,7.815127243,8.284034877
