Timeslice,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1D,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231,0.028079231
1E,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512,0.033044512
1N,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089,0.021257089
2D,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899,0.028162899
2E,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308,0.032773308
2N,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583,0.02154583
3D,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795,0.027630795
3E,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026,0.032121026
3N,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395,0.021153395
4D,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094,0.02806094
4E,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967,0.031747967
4N,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191,0.020854191
5D,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669,0.028282669
5E,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523,0.032389523
5N,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816,0.021489816
6D,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218,0.028813218
6E,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019,0.032851019
6N,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337,0.021473337
7D,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872,0.029132872
7E,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022,0.03337022
7N,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681,0.021698681
8D,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277,0.030326277
8E,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356,0.033544356
8N,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601,0.021372601
9D,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587,0.028844587
9E,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451,0.03387451
9N,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902,0.022067902
10D,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372,0.030454372
10E,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955,0.033918955
10N,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383,0.022264383
11D,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394,0.028603394
11E,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529,0.033419529
