,Technology,Capitalcost
626,TRHV_44,99.525
628,TRHV_45,99.525
642,TRHV_46,99.525
644,TRHV_47,99.525
599,TRHV_5,99.525
648,TRHV_50,99.525
630,TRHV_53,99.525
631,TRHV_54,99.525
632,TRHV_55,99.525
633,TRHV_56,99.525
634,TRHV_57,99.525
635,TRHV_59,99.525
602,TRHV_6,99.525
636,TRHV_60,99.525
637,TRHV_61,99.525
638,TRHV_62,99.525
639,TRHV_63,99.525
640,TRHV_64,99.525
641,TRHV_65,99.525
643,TRHV_66,99.525
645,TRHV_67,99.525
646,TRHV_68,99.525
647,TRHV_69,99.525
649,TRHV_70,99.525
650,TRHV_71,99.525
651,TRHV_72,99.525
652,TRHV_75,99.525
653,TRHV_76,99.525
654,TRHV_77,99.525
655,TRHV_78,99.525
656,TRHV_79,99.525
657,TRHV_80,99.525
658,TRHV_81,99.525
659,TRHV_82,99.525
660,TRHV_83,99.525
661,TRHV_84,99.525
662,TRHV_85,99.525
663,TRHV_86,99.525
664,TRHV_89,99.525
592,TRHV_9,99.525
665,TRHV_90,99.525
666,TRHV_95,99.525
667,TRHV_96,99.525
668,TRHV_98,99.525
669,TRHV_99,99.525
0,TRLV_1_0,2150.445529
1,TRLV_1_1,538.7363822
438,TRLV_10_0,665.3331776
64,TRLV_100_0,1747.743211
65,TRLV_100_1,438.0608027
500,TRLV_101_0,888.6323665
501,TRLV_103_0,1063.506017
502,TRLV_104_0,1337.405763
66,TRLV_105_0,3152.592817
67,TRLV_105_1,789.2732042
68,TRLV_106_0,2206.703981
69,TRLV_106_1,552.8009953
503,TRLV_107_0,1072.592523
70,TRLV_108_0,2144.743822
71,TRLV_108_1,537.3109554
72,TRLV_109_0,4379.279034
73,TRLV_109_1,1095.944758
8,TRLV_11_0,1970.364343
9,TRLV_11_1,493.7160856
74,TRLV_110_0,2345.426064
75,TRLV_110_1,587.481516
504,TRLV_111_0,1488.698704
76,TRLV_112_0,1865.574863
77,TRLV_112_1,467.5187158
505,TRLV_113_0,1938.421714
78,TRLV_114_0,2761.383464
79,TRLV_114_1,691.4708659
506,TRLV_115_0,1515.807929
80,TRLV_116_0,1881.35388
81,TRLV_116_1,471.4634701
