Fuel,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EL3_1_0,0,0,0,0,0,0.294289412,0.612121976,0.954910283,1.324142259,1.721384937,2.148288401,2.606589927,3.098118313,3.624798427,4.18865596,4.356202198,4.530450286,4.711668297,4.900135029,5.09614043,5.299986048,5.51198549,5.732464909,5.961763505,6.200234046
EL3_1_1,0.520715053,0.574145953,0.612769818,0.612769818,0.645194114,0.675499965,0.700345311,0.724001173,0.748598458,0.775499517,0.818629939,0.872438279,0.92023527,0.971391217,1.027430359,1.08580517,1.145676659,1.209457239,1.277474447,1.348739033,1.420506047,1.502374743,1.587265816,1.676932895,1.769234229
EL3_2_0,0,0,0,0,0,0.074235768,0.154410398,0.240880221,0.334020573,0.434226745,0.541914978,0.657523506,0.781513653,0.914370974,1.056606459,1.098870717,1.142825546,1.188538568,1.23608011,1.285523315,1.336944247,1.390422017,1.446038898,1.503880454,1.564035672
EL3_3_0,0,0,0,0,0,0.04850079,0.100881643,0.157375363,0.21822717,0.28369532,0.35405176,0.429582802,0.510589845,0.597390118,0.69031747,0.717930169,0.746647376,0.776513271,0.807573801,0.839876753,0.873471824,0.908410697,0.944747124,0.982537009,1.02183849
EL3_4_0,0,0,0,0,0,0.080165924,0.166745122,0.26012239,0.360703047,0.468913961,0.585204624,0.710048277,0.843943095,0.987413421,1.141011064,1.186651507,1.234117567,1.283482269,1.33482156,1.388214423,1.443743,1.50149272,1.561552428,1.624014525,1.688975106
EL3_5_0,0,0,0,0,0,0.133447617,0.277571043,0.433010826,0.600441679,0.780574183,0.97415658,1.181976651,1.404863676,1.643690501,1.89937569,1.975350718,2.054364747,2.136539337,2.22200091,2.310880947,2.403316184,2.499448832,2.599426785,2.703403856,2.811540011
EL3_5_1,0.693957974,0.765165439,0.816639541,0.816639541,0.859851464,0.900240131,0.933351572,0.964877786,0.997658637,1.03350973,1.090989729,1.162700208,1.226399352,1.294574984,1.369258459,1.447054683,1.526845535,1.61184604,1.702492707,1.79746716,1.893111201,2.002217773,2.115352272,2.234851765,2.357861933
EL3_6_0,0,0,0,0,0,0.076231303,0.15856111,0.247355332,0.342999393,0.445899211,0.556482216,0.675198422,0.802521553,0.938950217,1.085009139,1.128409505,1.173545885,1.22048772,1.269307229,1.320079518,1.372882699,1.427798007,1.484909927,1.544306324,1.606078577
EL3_6_1,1.228681664,1.354757464,1.445894516,1.445894516,1.522403036,1.593912864,1.652538056,1.70835654,1.766396409,1.829872272,1.931643017,2.058609425,2.171391428,2.29209924,2.42432946,2.562070935,2.70334398,2.853840934,3.014334656,3.182490904,3.351832684,3.545010441,3.745319811,3.956898669,4.174693325
EL3_8_0,0,0,0,0,0,0.182187768,0.378950558,0.59116287,0.819745846,1.0656696,1.329955661,1.613679536,1.917973391,2.244028867,2.593100025,2.696824026,2.804696987,2.916884866,3.033560261,3.154902671,3.281098778,3.412342729,3.548836438,3.690789896,3.838421492
EL3_8_1,7.924108352,8.737206101,9.324974194,9.324974194,9.818398829,10.27958552,10.65767562,11.01766448,11.39197967,11.80135309,12.45770081,13.27654234,14.00390471,14.78238283,15.63517214,16.52350506,17.43461406,18.4052106,19.44027906,20.52476528,21.61689732,22.86275418,24.15460478,25.51913544,26.92375349
EL3_9_0,0,0,0,0,0,0.090521299,0.188284302,0.293723511,0.407296602,0.529485583,0.660798007,0.801768249,0.952958833,1.114961834,1.288400342,1.339936355,1.39353381,1.449275162,1.507246168,1.567536015,1.630237456,1.695446954,1.763264832,1.833795425,1.907147242
EL3_10_0,0,0,0,0,0,0.010879947,0.022630291,0.035303253,0.048953845,0.063639998,0.079422718,0.096366231,0.114538148,0.134009634,0.154855577,0.1610498,0.167491792,0.174191463,0.181159122,0.188405487,0.195941706,0.203779375,0.21193055,0.220407772,0.229224082
EL3_11_0,0,0,0,0,0,0.122128614,0.254027517,0.396282926,0.549512324,0.714366021,0.891528795,1.081721604,1.285703393,1.504272969,1.738270987,1.807801826,1.880113899,1.955318455,2.033531193,2.114872441,2.199467339,2.287446032,2.378943874,2.474101629,2.573065694
EL3_11_1,0.215593302,0.237715466,0.253707027,0.253707027,0.267131761,0.279679389,0.289966186,0.299760498,0.30994459,0.32108252,0.338939945,0.361218382,0.381007922,0.402188181,0.425390244,0.449559352,0.474348134,0.500755409,0.528916789,0.558422692,0.588136615,0.622032971,0.65718069,0.694305835,0.732521648
EL3_12_0,0,0,0,0,0,0.14356182,0.298608587,0.465829395,0.645950095,0.839735123,1.047989433,1.271560513,1.511340495,1.768268379,2.043332349,2.125065643,2.210068269,2.298471,2.39040984,2.486026233,2.585467283,2.688885974,2.796441413,2.908299069,3.024631032
