Technology,Technology_name_OSeMOSYS,CF,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Wind,WI,0.25,1375.893614,1375.893614,1375.893614,1375.893614,1311.785125,1247.676635,1183.568146,1119.459656,1055.351167,991.2426773,927.1341878,863.0256983,798.9172088,734.8087193,670.7002298,662.3164769,653.9327241,645.5489712,637.1652183,628.7814654,620.3977126,612.0139597,603.6302068,595.246454,586.8627011
Comm PV,SOMG,0.2,1806.462617,1806.462617,1806.462617,1806.462617,1762.429583,1656.219311,1550.009038,1443.798765,1337.588492,1231.378219,1125.167946,1018.957673,912.7474005,806.5371276,700.3268548,691.3006006,682.2743464,673.2480923,664.2218381,655.1955839,646.1693298,637.1430756,628.1168214,619.0905673,610.0643131
PV,SOPV,0.21,2773.343622,2773.343622,2773.343622,2773.343622,2710.138689,2517.271547,2324.404406,2131.537264,1938.670123,1745.802981,1552.93584,1360.068698,1167.201557,974.3344151,781.4672735,769.5785479,757.6898223,745.8010967,733.9123711,722.0236455,710.1349199,698.2461942,686.3574686,674.468743,662.5800174
Battery,res_constant,constant,3147.19101,3147.19101,3147.19101,3147.19101,3005.529004,2793.984293,2582.439582,2370.894871,2159.35016,1947.805449,1841.864111,1735.922772,1629.981434,1524.040095,1418.098757,1390.353346,1362.607936,1334.862525,1307.117115,1279.371704,1251.626294,1223.880883,1196.135473,1168.390062,1140.644652
Battery,res_kWh,kWh,360.4310519,360.4310519,360.4310519,360.4310519,331.1232465,307.817076,284.5109055,261.204735,237.8985644,214.5923939,202.9206916,191.2489892,179.5772868,167.9055845,156.2338821,153.1771323,150.1203824,147.0636325,144.0068827,140.9501328,137.8933829,134.8366331,131.7798832,128.7231333,125.6663835
Battery,comm_constant,constant,947.3464865,947.3464865,947.3464865,947.3464865,737.8528245,685.9189179,633.9850114,582.0511048,530.1171982,478.1832917,452.1748533,426.1664149,400.1579766,374.1495382,348.1410998,341.3296435,334.5181872,327.7067309,320.8952746,314.0838183,307.272362,300.4609057,293.6494494,286.8379931,280.0265368
Battery,comm_kWh,kWh,256.7932516,256.7932516,256.7932516,256.7932516,200.0066804,185.9291735,171.8516666,157.7741596,143.6966527,129.6191458,122.5691471,115.5191485,108.4691498,101.4191511,94.36915248,92.52279949,90.67644651,88.83009353,86.98374055,85.13738756,83.29103458,81.4446816,79.59832861,77.75197563,75.90562265
