Technology,Technology_name_OSeMOSYS,CF,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Wind,WI,0.48,1604.712479,1508.902683,1470.283724,1427.579251,1381.01916,1329.069531,1273.852447,1215.443055,1154.075848,1089.985319,1023.405964,954.5722769,883.7187512,787.8823074,760.0812284,727.6730514,722.1249888,716.5769261,711.0288635,705.4808008,699.9327382,694.3846756,688.8366129,683.2885503,677.7404876
Wind,WI,0.47,1625.73479,1530.736403,1492.804284,1450.534724,1404.174047,1352.182618,1296.721616,1237.881,1175.912021,1111.065929,1043.593972,973.7474005,901.7774646,804.313832,776.0900726,743.2628638,737.6857689,732.1086741,726.5315792,720.9544844,715.3773895,709.8002947,704.2231999,698.646105,693.0690102
Wind,WI,0.45,1636.698082,1550.767362,1517.268364,1478.165618,1433.80963,1370.653451,1306.712666,1241.823181,1175.984998,1109.198116,1041.462535,972.7782557,903.145277,810.0615982,783.5259848,752.9522128,748.1997273,743.4472418,738.6947563,733.9422708,729.1897853,724.4372998,719.6848143,714.9323288,710.1798433
Wind,WI,0.44,1645.259425,1563.700866,1532.598503,1495.339982,1452.315551,1388.629816,1324.13775,1258.674075,1192.23879,1124.831895,1056.453391,987.1032776,916.7815546,822.6921114,796.0207554,765.4754195,760.9889551,756.5024906,752.0160262,747.5295617,743.0430972,738.5566328,734.0701683,729.5837039,725.0972394
Wind,WI,0.41,1663.418263,1599.385511,1576.679057,1545.354091,1506.006637,1436.801467,1367.081142,1296.676266,1225.586837,1153.812857,1081.354325,1008.211242,934.3836061,835.9215024,808.6189694,777.9609617,775.7296055,773.4982494,771.2668932,769.0355371,766.8041809,764.5728248,762.3414686,760.1101125,757.8787563
Wind,WI,0.37,1702.934101,1666.027853,1657.565745,1636.983756,1605.143795,1531.210922,1456.817515,1381.784386,1306.111535,1229.798962,1152.846669,1075.254653,949.0828747,908.5393617,875.3972082,849.6564143,831.3169798,831.4577698,831.5985598,831.7393497,831.8801397,832.0209297,832.1617197,832.3025096,832.4432996
Wind,WI,0.31,1751.460897,1736.544061,1741.157251,1731.174581,1707.610275,1634.427722,1560.339066,1485.156782,1408.880869,1331.511327,1253.048157,1173.491358,1042.61413,1000.71437,967.1102618,941.8018058,924.7890018,925.1020602,925.4151186,925.7281771,926.0412355,926.3542939,926.6673523,926.9804108,927.2934692
Wind,WI,0.25,1789.74153,1783.739526,1796.598538,1794.685613,1778.943867,1715.641246,1650.291736,1582.701894,1512.87172,1440.801214,1366.490376,1289.939206,1160.939521,1119.327128,1086.331448,1061.952481,1046.190227,1043.331902,1040.473578,1037.615254,1034.75693,1031.898605,1029.040281,1026.181957,1023.323632
Wind,WI,0.19,1820.901518,1871.699385,1915.500765,1938.180979,1941.129347,1875.511173,1807.452527,1736.74602,1663.391654,1587.389428,1508.739343,1427.441397,1288.772162,1244.704059,1211.273251,1188.479738,1176.323519,1176.370348,1176.417178,1176.464007,1176.510836,1176.557665,1176.604494,1176.651323,1176.698152
Wind,WI,0.13,1838.079574,1910.635778,1975.685953,2020.398743,2045.860005,2050.700576,2038.509232,2010.178521,1966.816018,1909.529298,1839.425934,1757.613502,1599.700835,1546.94788,1506.923623,1479.628065,1465.061205,1458.10165,1451.142095,1444.18254,1437.222984,1430.263429,1423.303874,1416.344318,1409.384763
Comm PV,SOMG,0.2,2675.005818,2036.014115,1484.09439,1372.539819,1285.216226,1156.380078,1111.67097,1066.961862,1022.252754,977.5436459,932.8345378,888.1254297,843.4163216,798.7072135,753.9981054,734.5272633,715.0564211,695.585579,676.1147369,656.6438948,637.1730526,617.7022105,598.2313684,578.7605263,559.2896842
PV,SOPV,0.21,3782.044173,2897.382822,2559.731938,2414.446681,2256.602114,2011.661897,1881.477242,1791.292587,1701.107931,1610.923276,1520.738621,1430.553966,1340.36931,1250.184655,1160,1101.765463,1043.530925,985.2963881,927.0618508,868.8273135,810.5927762,752.3582389,694.1237016,635.8891643,577.654627
Battery,8h,8,3829.111258,3588.222516,3347.333775,3106.445033,2865.556291,2758.710204,2651.864116,2545.018029,2438.171942,2331.325855,2286.813907,2242.301959,2197.790011,2153.278064,2108.766116,2081.362161,2053.958206,2026.554251,1999.150296,1971.746341,1953.424558,1935.102774,1916.780991,1898.459208,1880.137425
Battery,12h,13,5810.367623,5425.735246,5041.102869,4656.470492,4271.838115,4105.025052,3938.211989,3771.398925,3604.585862,3437.772799,3372.252712,3306.732626,3241.212539,3175.692453,3110.172366,3072.452768,3034.733169,2997.013571,2959.293972,2921.574374,2898.613305,2875.652235,2852.691166,2829.730097,2806.769028
