Technology,Modeofoperation,CO2,NOx
KEDSGEN_101,1,8.83838E-05,
KEDSGEN_102,1,8.83838E-05,
KEDSGEN_103,1,8.83838E-05,
KEDSGEN_104,1,8.83838E-05,
KEDSGEN_105,1,8.83838E-05,
KEDSGEN_106,1,8.83838E-05,
KEDSGEN_107,1,8.83838E-05,
KEDSGEN_108,1,8.83838E-05,
KEDSGEN_109,1,8.83838E-05,
KEDSGEN_110,1,8.83838E-05,
KEDSGEN_111,1,8.83838E-05,
KEDSGEN_112,1,8.83838E-05,
KEDSGEN_113,1,8.83838E-05,
KEDSGEN_114,1,8.83838E-05,
KEDSGEN_115,1,8.83838E-05,
KEDSGEN_116,1,8.83838E-05,
KEDSGEN_117,1,8.83838E-05,
KEDSGEN_118,1,8.83838E-05,
KEDSGEN_119,1,8.83838E-05,
KEDSGEN_120,1,8.83838E-05,
KEDSGEN_121,1,8.83838E-05,
KEDSGEN_122,1,8.83838E-05,
KEDSGEN_123,1,8.83838E-05,
KEDSGEN_124,1,8.83838E-05,
KEDSGEN_125,1,8.83838E-05,
KEDSGEN_126,1,8.83838E-05,
KEDSGEN_127,1,8.83838E-05,
KEDSGEN_128,1,8.83838E-05,
KEDSGEN_129,1,8.83838E-05,
KEDSGEN_130,1,8.83838E-05,
KEDSGEN_131,1,8.83838E-05,
KEDSGEN_132,1,8.83838E-05,
KEDSGEN_133,1,8.83838E-05,
KEDSGEN_134,1,8.83838E-05,
KEDSGEN_135,1,8.83838E-05,
KEDSGEN_136,1,8.83838E-05,
KEDSGEN_137,1,8.83838E-05,
KEDSGEN_138,1,8.83838E-05,
KEDSGEN_139,1,8.83838E-05,
KEDSGEN_140,1,8.83838E-05,
KEDSGEN_141,1,8.83838E-05,
KEDSGEN_142,1,8.83838E-05,
KEDSGEN_143,1,8.83838E-05,
KEDSGEN_144,1,8.83838E-05,
KEDSGEN_145,1,8.83838E-05,
KEDSGEN_146,1,8.83838E-05,
KEDSGEN_147,1,8.83838E-05,
KEDSGEN_148,1,8.83838E-05,
KEDSGEN_149,1,8.83838E-05,
KEDSGEN_150,1,8.83838E-05,
KEDSGEN_151,1,8.83838E-05,
KEDSGEN_152,1,8.83838E-05,
KEDSGEN_153,1,8.83838E-05,
KEDSGEN_154,1,8.83838E-05,
KEDSGEN_155,1,8.83838E-05,
KEDSGEN_156,1,8.83838E-05,
KEDSGEN_157,1,8.83838E-05,
KEDSGEN_158,1,8.83838E-05,
KEDSGEN_159,1,8.83838E-05,
KEDSGEN_160,1,8.83838E-05,
KEDSGEN_161,1,8.83838E-05,
KEDSGEN_162,1,8.83838E-05,
KEDSGEN_163,1,8.83838E-05,
KEDSGEN_164,1,8.83838E-05,
KEDSGEN_165,1,8.83838E-05,
KEDSGEN_166,1,8.83838E-05,
KEDSGEN_167,1,8.83838E-05,
KEDSGEN_168,1,8.83838E-05,
KEDSGEN_169,1,8.83838E-05,
KEDSGEN_170,1,8.83838E-05,
KEDSGEN_171,1,8.83838E-05,
KEDSGEN_172,1,8.83838E-05,
KEDSGEN_173,1,8.83838E-05,
KEDSGEN_174,1,8.83838E-05,
KEDSGEN_175,1,8.83838E-05,
KEDSGEN_176,1,8.83838E-05,
KEDSGEN_177,1,8.83838E-05,
KEDSGEN_178,1,8.83838E-05,
KEDSGEN_179,1,8.83838E-05,
KEDSGEN_180,1,8.83838E-05,
KEDSGEN_181,1,8.83838E-05,
KEDSGEN_182,1,8.83838E-05,
KEDSGEN_183,1,8.83838E-05,
KEDSGEN_184,1,8.83838E-05,
KEDSGEN_185,1,8.83838E-05,
KEDSGEN_186,1,8.83838E-05,
KEDSGEN_187,1,8.83838E-05,
KEDSGEN_188,1,8.83838E-05,
KEDSGEN_189,1,8.83838E-05,
KEDSGEN_190,1,8.83838E-05,
KEDSGEN_191,1,8.83838E-05,
KEDSGEN_192,1,8.83838E-05,
KEDSGEN_193,1,8.83838E-05,
KEDSGEN_194,1,8.83838E-05,
KEDSGEN_195,1,8.83838E-05,
KEDSGEN_196,1,8.83838E-05,
KEDSGEN_197,1,8.83838E-05,
KEDSGEN_198,1,8.83838E-05,
KEDSGEN_199,1,8.83838E-05,
KEDSGEN_200,1,8.83838E-05,
KEDSGEN_201,1,8.83838E-05,
KEDSGEN_202,1,8.83838E-05,
KEDSGEN_203,1,8.83838E-05,
KEDSGEN_204,1,8.83838E-05,
KEDSGEN_205,1,8.83838E-05,
KEDSGEN_206,1,8.83838E-05,
KEDSGEN_207,1,8.83838E-05,
KEDSGEN_208,1,8.83838E-05,
KEDSGEN_209,1,8.83838E-05,
KEDSGEN_210,1,8.83838E-05,
KEDSGEN_211,1,8.83838E-05,
KEDSGEN_212,1,8.83838E-05,
KEDSGEN_213,1,8.83838E-05,
KEDSGEN_214,1,8.83838E-05,
KEDSGEN_215,1,8.83838E-05,
KEDSGEN_216,1,8.83838E-05,
KEDSGEN_217,1,8.83838E-05,
KEDSGEN_218,1,8.83838E-05,
KEDSGEN_219,1,8.83838E-05,
KEDSGEN_220,1,8.83838E-05,
KEDSGEN_221,1,8.83838E-05,
KEDSGEN_222,1,8.83838E-05,
KEDSGEN_223,1,8.83838E-05,
KEDSGEN_224,1,8.83838E-05,
KEDSGEN_225,1,8.83838E-05,
KEDSGEN_226,1,8.83838E-05,
KEDSGEN_227,1,8.83838E-05,
KEDSGEN_228,1,8.83838E-05,
KEDSGEN_229,1,8.83838E-05,
KEDSGEN_230,1,8.83838E-05,
KEDSGEN_231,1,8.83838E-05,
KEDSGEN_232,1,8.83838E-05,
KEDSGEN_233,1,8.83838E-05,
KEDSGEN_234,1,8.83838E-05,
KEDSGEN_235,1,8.83838E-05,
KEDSGEN_236,1,8.83838E-05,
KEDSGEN_237,1,8.83838E-05,
KEDSGEN_238,1,8.83838E-05,
KEDSGEN_239,1,8.83838E-05,
KEDSGEN_240,1,8.83838E-05,
KEDSGEN_241,1,8.83838E-05,
KEDSGEN_242,1,8.83838E-05,
KEDSGEN_243,1,8.83838E-05,
KEDSGEN_244,1,8.83838E-05,
KEDSGEN_245,1,8.83838E-05,
KEDSGEN_246,1,8.83838E-05,
KEDSGEN_247,1,8.83838E-05,
KEDSGEN_248,1,8.83838E-05,
KEDSGEN_249,1,8.83838E-05,
KEDSGEN_250,1,8.83838E-05,
KEDSGEN_251,1,8.83838E-05,
KEDSGEN_252,1,8.83838E-05,
KEDSGEN_253,1,8.83838E-05,
KEDSGEN_254,1,8.83838E-05,
KEDSGEN_255,1,8.83838E-05,
KEDSGEN_256,1,8.83838E-05,
KEDSGEN_257,1,8.83838E-05,
KEDSGEN_258,1,8.83838E-05,
KEDSGEN_259,1,8.83838E-05,
KEDSGEN_260,1,8.83838E-05,
KEDSGEN_261,1,8.83838E-05,
KEDSGEN_262,1,8.83838E-05,
KEDSGEN_263,1,8.83838E-05,
