,Technology,Capitalcost
0,TRLV_1_1,8.478314682
1,TRLV_1_0,9582.386352
2,TRLV_5_1,35.11114722
3,TRLV_5_0,6380.505553
4,TRLV_6_1,5.309746189
5,TRLV_6_0,994.3157695
6,TRLV_8_1,426.2878162
7,TRLV_8_0,10654.90026
8,TRLV_17_1,69.77289866
9,TRLV_17_0,11488.56537
10,TRLV_30_1,13.24283827
11,TRLV_30_0,19298.14364
12,TRLV_33_1,836.1921956
13,TRLV_33_0,20049.0089
14,TRLV_34_1,5124.225541
15,TRLV_34_0,22364.9933
16,TRLV_37_1,6.22760378
17,TRLV_37_0,6193.902659
18,TRLV_39_1,27.08443816
19,TRLV_39_0,8387.605933
20,TRLV_42_1,98.16428216
21,TRLV_42_0,3404.166214
22,TRLV_43_1,108.0565719
23,TRLV_43_0,3167.921954
24,TRLV_48_1,2502.878807
25,TRLV_48_0,5472.306125
26,TRLV_49_1,563.4782303
27,TRLV_49_0,10490.07723
28,TRLV_50_1,215.6775398
29,TRLV_50_0,17615.49663
30,TRLV_51_1,3727.19833
31,TRLV_51_0,12853.47043
32,TRLV_52_1,516.4685753
33,TRLV_52_0,9971.314339
34,TRLV_53_1,97.28127048
35,TRLV_53_0,13417.19589
36,TRLV_58_1,4634.808818
37,TRLV_58_0,7004.886643
38,TRLV_59_1,162.6920404
39,TRLV_59_0,6728.888676
40,TRLV_72_1,9.945241116
41,TRLV_72_0,11793.44877
42,TRLV_73_1,2472.364097
43,TRLV_73_0,13271.62289
44,TRLV_74_1,2827.423329
45,TRLV_74_0,9979.288715
46,TRLV_87_1,366.138146
47,TRLV_87_0,6927.447538
48,TRLV_88_1,1951.672954
49,TRLV_88_0,7300.267947
50,TRLV_91_1,4475.755235
51,TRLV_91_0,17557.2366
52,TRLV_92_1,113.6456679
53,TRLV_92_0,12381.68656
54,TRLV_100_1,3293.95926
55,TRLV_100_0,5317.381303
56,TRLV_104_1,15.23460514
57,TRLV_104_0,8321.751052
58,TRLV_105_1,2699.353133
59,TRLV_105_0,8672.374336
60,TRLV_106_1,482.1148271
61,TRLV_106_0,10945.49492
62,TRLV_109_1,318.9892732
63,TRLV_109_0,9999.576109
64,TRLV_110_1,1619.097601
65,TRLV_110_0,7136.62285
66,TRLV_112_1,29.23457929
67,TRLV_112_0,7761.19082
68,TRLV_114_1,240.8646372
69,TRLV_114_0,6335.415549
70,TRLV_117_1,37.821542
71,TRLV_117_0,3415.754707
72,TRLV_120_1,6.839749702
73,TRLV_120_0,4916.00591
