Fuel,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,elec
EL3_14_0,0,0,0.016880599,0.033761198,0.050641797,0.067522396,0.084402995,0.101283595,0.118164194,0.135044793,0.151925392,0.168805991,0.18568659,0.202567189,0.219447788,0.219447788,0.219447788,0.219447788,0.219447788,0.219447788,0.219447788,0.219447788,0.219447788,0.219447788,0.219447788,0
EL3_15_0,0,0,0.018518514,0.037037028,0.055555542,0.074074056,0.09259257,0.111111085,0.129629599,0.148148113,0.166666627,0.185185141,0.203703655,0.222222169,0.240740683,0.240740683,0.240740683,0.240740683,0.240740683,0.240740683,0.240740683,0.240740683,0.240740683,0.240740683,0.240740683,0
EL3_16_0,0,0,0.029524716,0.059049433,0.088574149,0.118098866,0.147623582,0.177148299,0.206673015,0.236197732,0.265722448,0.295247165,0.324771881,0.354296598,0.383821314,0.383821314,0.383821314,0.383821314,0.383821314,0.383821314,0.383821314,0.383821314,0.383821314,0.383821314,0.383821314,0
EL3_17_0,0,0,0.568798167,1.137596334,1.706394501,2.275192668,2.843990836,3.412789003,3.98158717,4.550385337,5.119183504,5.687981671,6.256779838,6.825578005,7.394376172,7.394376172,7.394376172,7.394376172,7.394376172,7.394376172,7.394376172,7.394376172,7.394376172,7.394376172,7.394376172,0
EL3_17_1,2.028035001,2.174304506,2.316826485,2.448336697,2.595429598,2.750833266,2.959425845,3.154928966,3.366014775,3.657922797,3.93424813,4.199561696,4.546736321,4.856928031,5.186026737,5.532793504,5.901791574,6.294267562,6.712506929,7.159002904,7.607161033,8.093133154,8.431091992,8.846704562,9.262317133,1
EL3_18_0,0,0,0.244078683,0.488157366,0.73223605,0.976314733,1.220393416,1.464472099,1.708550783,1.952629466,2.196708149,2.440786832,2.684865516,2.928944199,3.173022882,3.173022882,3.173022882,3.173022882,3.173022882,3.173022882,3.173022882,3.173022882,3.173022882,3.173022882,3.173022882,0
EL3_19_0,0,0,0.077014061,0.154028122,0.231042184,0.308056245,0.385070306,0.462084367,0.539098428,0.61611249,0.693126551,0.770140612,0.847154673,0.924168735,1.001182796,1.001182796,1.001182796,1.001182796,1.001182796,1.001182796,1.001182796,1.001182796,1.001182796,1.001182796,1.001182796,0
EL3_20_0,0,0,0.526064382,1.052128763,1.578193145,2.104257527,2.630321908,3.15638629,3.682450672,4.208515053,4.734579435,5.260643817,5.786708198,6.31277258,6.838836962,6.838836962,6.838836962,6.838836962,6.838836962,6.838836962,6.838836962,6.838836962,6.838836962,6.838836962,6.838836962,0
EL3_21_0,0,0,0.102982132,0.205964264,0.308946395,0.411928527,0.514910659,0.617892791,0.720874922,0.823857054,0.926839186,1.029821318,1.132803449,1.235785581,1.338767713,1.338767713,1.338767713,1.338767713,1.338767713,1.338767713,1.338767713,1.338767713,1.338767713,1.338767713,1.338767713,0
EL3_22_0,0,0,0.055369938,0.110739876,0.166109814,0.221479751,0.276849689,0.332219627,0.387589565,0.442959503,0.498329441,0.553699379,0.609069317,0.664439254,0.719809192,0.719809192,0.719809192,0.719809192,0.719809192,0.719809192,0.719809192,0.719809192,0.719809192,0.719809192,0.719809192,0
EL3_23_0,0,0,0.073345773,0.146691546,0.220037319,0.293383092,0.366728865,0.440074638,0.513420411,0.586766184,0.660111957,0.73345773,0.806803503,0.880149276,0.953495049,0.953495049,0.953495049,0.953495049,0.953495049,0.953495049,0.953495049,0.953495049,0.953495049,0.953495049,0.953495049,0
EL3_24_0,0,0,0.005950869,0.011901739,0.017852608,0.023803478,0.029754347,0.035705216,0.041656086,0.047606955,0.053557824,0.059508694,0.065459563,0.071410433,0.077361302,0.077361302,0.077361302,0.077361302,0.077361302,0.077361302,0.077361302,0.077361302,0.077361302,0.077361302,0.077361302,0
EL3_25_0,0,0,0.016124858,0.032249716,0.048374574,0.064499432,0.08062429,0.096749149,0.112874007,0.128998865,0.145123723,0.161248581,0.177373439,0.193498297,0.209623155,0.209623155,0.209623155,0.209623155,0.209623155,0.209623155,0.209623155,0.209623155,0.209623155,0.209623155,0.209623155,0
EL3_26_0,0,0,0.011125996,0.022251991,0.033377987,0.044503983,0.055629978,0.066755974,0.07788197,0.089007965,0.100133961,0.111259957,0.122385952,0.133511948,0.144637944,0.144637944,0.144637944,0.144637944,0.144637944,0.144637944,0.144637944,0.144637944,0.144637944,0.144637944,0.144637944,0
EL3_27_0,0,0,0.034788247,0.069576494,0.104364742,0.139152989,0.173941236,0.208729483,0.24351773,0.278305977,0.313094225,0.347882472,0.382670719,0.417458966,0.452247213,0.452247213,0.452247213,0.452247213,0.452247213,0.452247213,0.452247213,0.452247213,0.452247213,0.452247213,0.452247213,0
EL3_28_0,0,0,0.028201238,0.056402477,0.084603715,0.112804954,0.141006192,0.16920743,0.197408669,0.225609907,0.253811145,0.282012384,0.310213622,0.338414861,0.366616099,0.366616099,0.366616099,0.366616099,0.366616099,0.366616099,0.366616099,0.366616099,0.366616099,0.366616099,0.366616099,0
EL3_29_0,0,0,0.011820072,0.023640144,0.035460217,0.047280289,0.059100361,0.070920433,0.082740505,0.094560577,0.10638065,0.118200722,0.130020794,0.141840866,0.153660938,0.153660938,0.153660938,0.153660938,0.153660938,0.153660938,0.153660938,0.153660938,0.153660938,0.153660938,0.153660938,0
EL3_30_0,0,0,0.818564701,1.637129402,2.455694103,3.274258804,4.092823505,4.911388206,5.729952907,6.548517609,7.36708231,8.185647011,9.004211712,9.822776413,10.64134111,10.64134111,10.64134111,10.64134111,10.64134111,10.64134111,10.64134111,10.64134111,10.64134111,10.64134111,10.64134111,0
EL3_30_1,0.062891925,0.067427927,0.071847713,0.075926011,0.080487548,0.085306811,0.091775531,0.097838329,0.104384366,0.113436803,0.122006,0.130233708,0.141000032,0.150619468,0.160825234,0.171578909,0.183022005,0.195193181,0.208163312,0.222009715,0.235907665,0.250978273,0.261458804,0.274347474,0.287236144,1
EL3_31_0,0,0,0.407407735,0.81481547,1.222223205,1.62963094,2.037038675,2.44444641,2.851854145,3.25926188,3.666669615,4.07407735,4.481485085,4.88889282,5.296300555,5.296300555,5.296300555,5.296300555,5.296300555,5.296300555,5.296300555,5.296300555,5.296300555,5.296300555,5.296300555,0
EL3_32_0,0,0,0.29173679,0.583473581,0.875210371,1.166947161,1.458683952,1.750420742,2.042157532,2.333894323,2.625631113,2.917367903,3.209104694,3.500841484,3.792578274,3.792578274,3.792578274,3.792578274,3.792578274,3.792578274,3.792578274,3.792578274,3.792578274,3.792578274,3.792578274,0
