,Column,Fuel,Technology,Outputactivity,ModeofOperation
41,0,EL3_8_0,SOPV8h_8_0,1.0,1
42,0,EL3_8_1,SOPV_8_1,1.0,1
43,0,EL3_8_0,SOPV_8_0,1.0,1
44,0,EL3_17_1,TRLV_17_1,0.865,1
45,0,EL3_17_1,BACKSTOP,0.865,1
46,0,EL3_17_0,TRLV_17_0,0.865,1
47,0,EL3_17_0,BACKSTOP,0.865,1
48,0,EL3_17_1,KEEL00d_17,0.865,1
49,0,EL3_17_1,SOPV12h_17_1,1.0,1
50,0,EL3_17_0,SOPV12h_17_0,1.0,1
51,0,EL3_17_1,SOPV8h_17_1,1.0,1
52,0,EL3_17_0,SOPV8h_17_0,1.0,1
53,0,EL3_17_1,SOPV_17_1,1.0,1
54,0,EL3_17_0,SOPV_17_0,1.0,1
55,0,EL3_30_1,TRLV_30_1,0.865,1
56,0,EL3_30_1,BACKSTOP,0.865,1
57,0,EL3_30_0,TRLV_30_0,0.865,1
58,0,EL3_30_0,BACKSTOP,0.865,1
59,0,EL3_30_1,KEEL00d_30,0.865,1
60,0,EL3_30_1,SOPV12h_30_1,1.0,1
61,0,EL3_30_0,SOPV12h_30_0,1.0,1
62,0,EL3_30_1,SOPV8h_30_1,1.0,1
63,0,EL3_30_0,SOPV8h_30_0,1.0,1
64,0,EL3_30_1,SOPV_30_1,1.0,1
65,0,EL3_30_0,SOPV_30_0,1.0,1
66,0,EL3_33_1,TRLV_33_1,0.865,1
67,0,EL3_33_1,BACKSTOP,0.865,1
68,0,EL3_33_0,TRLV_33_0,0.865,1
69,0,EL3_33_0,BACKSTOP,0.865,1
70,0,EL3_33_1,KEEL00d_33,0.865,1
71,0,EL3_33_1,SOPV12h_33_1,1.0,1
72,0,EL3_33_0,SOPV12h_33_0,1.0,1
73,0,EL3_33_1,SOPV8h_33_1,1.0,1
74,0,EL3_33_0,SOPV8h_33_0,1.0,1
75,0,EL3_33_1,SOPV_33_1,1.0,1
76,0,EL3_33_0,SOPV_33_0,1.0,1
77,0,EL3_34_1,TRLV_34_1,0.865,1
78,0,EL3_34_1,BACKSTOP,0.865,1
79,0,EL3_34_0,TRLV_34_0,0.865,1
80,0,EL3_34_0,BACKSTOP,0.865,1
81,0,EL3_34_1,KEEL00d_34,0.865,1
82,0,EL3_34_1,SOPV12h_34_1,1.0,1
83,0,EL3_34_0,SOPV12h_34_0,1.0,1
84,0,EL3_34_1,SOPV8h_34_1,1.0,1
85,0,EL3_34_0,SOPV8h_34_0,1.0,1
86,0,EL3_34_1,SOPV_34_1,1.0,1
87,0,EL3_34_0,SOPV_34_0,1.0,1
88,0,EL3_37_1,TRLV_37_1,0.865,1
89,0,EL3_37_1,BACKSTOP,0.865,1
90,0,EL3_37_0,TRLV_37_0,0.865,1
91,0,EL3_37_0,BACKSTOP,0.865,1
92,0,EL3_37_1,KEEL00d_37,0.865,1
93,0,EL3_37_1,SOPV12h_37_1,1.0,1
94,0,EL3_37_0,SOPV12h_37_0,1.0,1
95,0,EL3_37_1,SOPV8h_37_1,1.0,1
96,0,EL3_37_0,SOPV8h_37_0,1.0,1
97,0,EL3_37_1,SOPV_37_1,1.0,1
98,0,EL3_37_0,SOPV_37_0,1.0,1
99,0,EL3_39_1,TRLV_39_1,0.865,1
100,0,EL3_39_1,BACKSTOP,0.865,1
101,0,EL3_39_0,TRLV_39_0,0.865,1
102,0,EL3_39_0,BACKSTOP,0.865,1
103,0,EL3_39_1,KEEL00d_39,0.865,1
104,0,EL3_39_1,SOPV12h_39_1,1.0,1
105,0,EL3_39_0,SOPV12h_39_0,1.0,1
106,0,EL3_39_1,SOPV8h_39_1,1.0,1
107,0,EL3_39_0,SOPV8h_39_0,1.0,1
108,0,EL3_39_1,SOPV_39_1,1.0,1
109,0,EL3_39_0,SOPV_39_0,1.0,1
110,0,EL3_42_1,TRLV_42_1,0.865,1
111,0,EL3_42_1,BACKSTOP,0.865,1
112,0,EL3_42_0,TRLV_42_0,0.865,1
113,0,EL3_42_0,BACKSTOP,0.865,1
114,0,EL3_42_1,KEEL00d_42,0.865,1
115,0,EL3_42_1,SOPV12h_42_1,1.0,1
116,0,EL3_42_0,SOPV12h_42_0,1.0,1
117,0,EL3_42_1,SOPV8h_42_1,1.0,1
118,0,EL3_42_0,SOPV8h_42_0,1.0,1
119,0,EL3_42_1,SOPV_42_1,1.0,1
120,0,EL3_42_0,SOPV_42_0,1.0,1
121,0,EL3_43_1,TRLV_43_1,0.865,1
122,0,EL3_43_1,BACKSTOP,0.865,1
123,0,EL3_43_0,TRLV_43_0,0.865,1
