Timeslice,Hour,Month,Daysplit,Demand fuel,startyear,endyear,timesliceDN,timesliceDE,timesliceED,timesliceEN,timesliceNE,timesliceND,region,Tech,renewable ninjafile
1D,06:00,1,D,EL3_1_0,2016,2040,06:00,17:00,18:00,22:00,23:00,05:00,region,SOPV12h_1_1,capacityfactor_solar
1E,18:00,2,E,EL3_1_1,,,,,,,,,,SOPV12h_1_0,capacityfactor_solar
1N,23:00,3,N,EL3_2_0,,,,,,,,,,SOPV12h_5_1,capacityfactor_solar
2D,06:00,4,,EL3_3_0,,,,,,,,,,SOPV12h_5_0,capacityfactor_solar
2E,18:00,5,,EL3_4_0,,,,,,,,,,SOPV12h_6_1,capacityfactor_solar
2N,23:00,6,,EL3_5_0,,,,,,,,,,SOPV12h_6_0,capacityfactor_solar
3D,06:00,7,,EL3_5_1,,,,,,,,,,SOPV12h_8_1,capacityfactor_solar
3E,18:00,8,,EL3_6_0,,,,,,,,,,SOPV12h_8_0,capacityfactor_solar
3N,23:00,9,,EL3_6_1,,,,,,,,,,SOPV12h_17_1,capacityfactor_solar
4D,06:00,10,,EL3_7_0,,,,,,,,,,SOPV12h_17_0,capacityfactor_solar
4E,18:00,11,,EL3_8_0,,,,,,,,,,SOPV12h_30_1,capacityfactor_solar
4N,23:00,12,,EL3_8_1,,,,,,,,,,SOPV12h_30_0,capacityfactor_solar
5D,06:00,,,EL3_9_0,,,,,,,,,,SOPV12h_33_1,capacityfactor_solar
5E,18:00,,,EL3_10_0,,,,,,,,,,SOPV12h_33_0,capacityfactor_solar
5N,23:00,,,EL3_11_0,,,,,,,,,,SOPV12h_34_1,capacityfactor_solar
6D,06:00,,,EL3_12_0,,,,,,,,,,SOPV12h_34_0,capacityfactor_solar
6E,18:00,,,EL3_13_0,,,,,,,,,,SOPV12h_37_1,capacityfactor_solar
6N,23:00,,,EL3_14_0,,,,,,,,,,SOPV12h_37_0,capacityfactor_solar
7D,06:00,,,EL3_15_0,,,,,,,,,,SOPV12h_39_1,capacityfactor_solar
7E,18:00,,,EL3_16_0,,,,,,,,,,SOPV12h_39_0,capacityfactor_solar
7N,23:00,,,EL3_17_0,,,,,,,,,,SOPV12h_42_1,capacityfactor_solar
8D,06:00,,,EL3_17_1,,,,,,,,,,SOPV12h_42_0,capacityfactor_solar
8E,18:00,,,EL3_18_0,,,,,,,,,,SOPV12h_43_1,capacityfactor_solar
