,Column,Fuel,Technology,Inputactivity,ModeofOperation
875,0,SOLAR_191,SOPV_191_1,1,1
876,0,SOLAR_191,SOPV_191_0,1,1
877,0,SOLAR_191,SOPV8h_191_1,1,1
878,0,SOLAR_191,SOPV8h_191_0,1,1
879,0,SOLAR_191,SOPV12h_191_1,1,1
891,0,SOLAR_192,SOPV12h_192_0,1,1
881,0,KEEL2_191,TRLV_191_1,1,1
882,0,KEEL2_191,TRLV_191_0,1,1
883,0,EL2_192,TRLV_192_1,1,1
884,0,EL2_192,TRLV_192_0,1,1
885,0,KEEL2,KEEL00d_192,1,1
886,0,SOLAR_192,SOPV_192_1,1,1
887,0,SOLAR_192,SOPV_192_0,1,1
888,0,SOLAR_192,SOPV8h_192_1,1,1
889,0,SOLAR_192,SOPV8h_192_0,1,1
890,0,SOLAR_192,SOPV12h_192_1,1,1
902,0,SOLAR_193,SOPV12h_193_0,1,1
892,0,KEEL2_192,TRLV_192_1,1,1
893,0,KEEL2_192,TRLV_192_0,1,1
894,0,EL2_193,TRLV_193_1,1,1
895,0,EL2_193,TRLV_193_0,1,1
896,0,KEEL2,KEEL00d_193,1,1
897,0,SOLAR_193,SOPV_193_1,1,1
898,0,SOLAR_193,SOPV_193_0,1,1
899,0,SOLAR_193,SOPV8h_193_1,1,1
900,0,SOLAR_193,SOPV8h_193_0,1,1
901,0,SOLAR_193,SOPV12h_193_1,1,1
913,0,SOLAR_197,SOPV12h_197_0,1,1
903,0,KEEL2_193,TRLV_193_1,1,1
904,0,KEEL2_193,TRLV_193_0,1,1
905,0,EL2_197,TRLV_197_1,1,1
906,0,EL2_197,TRLV_197_0,1,1
907,0,KEEL2,KEEL00d_197,1,1
908,0,SOLAR_197,SOPV_197_1,1,1
909,0,SOLAR_197,SOPV_197_0,1,1
910,0,SOLAR_197,SOPV8h_197_1,1,1
911,0,SOLAR_197,SOPV8h_197_0,1,1
912,0,SOLAR_197,SOPV12h_197_1,1,1
924,0,SOLAR_198,SOPV12h_198_0,1,1
914,0,KEEL2_197,TRLV_197_1,1,1
915,0,KEEL2_197,TRLV_197_0,1,1
916,0,EL2_198,TRLV_198_1,1,1
917,0,EL2_198,TRLV_198_0,1,1
918,0,KEEL2,KEEL00d_198,1,1
919,0,SOLAR_198,SOPV_198_1,1,1
920,0,SOLAR_198,SOPV_198_0,1,1
921,0,SOLAR_198,SOPV8h_198_1,1,1
922,0,SOLAR_198,SOPV8h_198_0,1,1
923,0,SOLAR_198,SOPV12h_198_1,1,1
935,0,SOLAR_199,SOPV12h_199_0,1,1
925,0,KEEL2_198,TRLV_198_1,1,1
926,0,KEEL2_198,TRLV_198_0,1,1
927,0,EL2_199,TRLV_199_1,1,1
928,0,EL2_199,TRLV_199_0,1,1
929,0,KEEL2,KEEL00d_199,1,1
930,0,SOLAR_199,SOPV_199_1,1,1
931,0,SOLAR_199,SOPV_199_0,1,1
932,0,SOLAR_199,SOPV8h_199_1,1,1
933,0,SOLAR_199,SOPV8h_199_0,1,1
934,0,SOLAR_199,SOPV12h_199_1,1,1
946,0,SOLAR_200,SOPV12h_200_0,1,1
936,0,KEEL2_199,TRLV_199_1,1,1
937,0,KEEL2_199,TRLV_199_0,1,1
938,0,EL2_200,TRLV_200_1,1,1
939,0,EL2_200,TRLV_200_0,1,1
940,0,KEEL2,KEEL00d_200,1,1
941,0,SOLAR_200,SOPV_200_1,1,1
942,0,SOLAR_200,SOPV_200_0,1,1
943,0,SOLAR_200,SOPV8h_200_1,1,1
944,0,SOLAR_200,SOPV8h_200_0,1,1
945,0,SOLAR_200,SOPV12h_200_1,1,1
957,0,SOLAR_201,SOPV12h_201_0,1,1
947,0,KEEL2_200,TRLV_200_1,1,1
948,0,KEEL2_200,TRLV_200_0,1,1
949,0,EL2_201,TRLV_201_1,1,1
950,0,EL2_201,TRLV_201_0,1,1
951,0,KEEL2,KEEL00d_201,1,1
952,0,SOLAR_201,SOPV_201_1,1,1
953,0,SOLAR_201,SOPV_201_0,1,1
954,0,SOLAR_201,SOPV8h_201_1,1,1
955,0,SOLAR_201,SOPV8h_201_0,1,1
956,0,SOLAR_201,SOPV12h_201_1,1,1
968,0,SOLAR_202,SOPV12h_202_0,1,1
958,0,KEEL2_201,TRLV_201_1,1,1
959,0,KEEL2_201,TRLV_201_0,1,1
960,0,EL2_202,TRLV_202_1,1,1
961,0,EL2_202,TRLV_202_0,1,1
962,0,KEEL2,KEEL00d_202,1,1
963,0,SOLAR_202,SOPV_202_1,1,1
964,0,SOLAR_202,SOPV_202_0,1,1
965,0,SOLAR_202,SOPV8h_202_1,1,1
966,0,SOLAR_202,SOPV8h_202_0,1,1
967,0,SOLAR_202,SOPV12h_202_1,1,1
979,0,SOLAR_203,SOPV12h_203_0,1,1
969,0,KEEL2_202,TRLV_202_1,1,1
970,0,KEEL2_202,TRLV_202_0,1,1
971,0,EL2_203,TRLV_203_1,1,1
972,0,EL2_203,TRLV_203_0,1,1
973,0,KEEL2,KEEL00d_203,1,1
974,0,SOLAR_203,SOPV_203_1,1,1
975,0,SOLAR_203,SOPV_203_0,1,1
976,0,SOLAR_203,SOPV8h_203_1,1,1
977,0,SOLAR_203,SOPV8h_203_0,1,1
978,0,SOLAR_203,SOPV12h_203_1,1,1
990,0,SOLAR_204,SOPV12h_204_0,1,1
980,0,KEEL2_203,TRLV_203_1,1,1
981,0,KEEL2_203,TRLV_203_0,1,1
982,0,EL2_204,TRLV_204_1,1,1
983,0,EL2_204,TRLV_204_0,1,1
984,0,KEEL2,KEEL00d_204,1,1
985,0,SOLAR_204,SOPV_204_1,1,1
986,0,SOLAR_204,SOPV_204_0,1,1
987,0,SOLAR_204,SOPV8h_204_1,1,1
988,0,SOLAR_204,SOPV8h_204_0,1,1
989,0,SOLAR_204,SOPV12h_204_1,1,1
1001,0,SOLAR_205,SOPV12h_205_0,1,1
991,0,KEEL2_204,TRLV_204_1,1,1
992,0,KEEL2_204,TRLV_204_0,1,1
993,0,EL2_205,TRLV_205_1,1,1
994,0,EL2_205,TRLV_205_0,1,1
995,0,KEEL2,KEEL00d_205,1,1
996,0,SOLAR_205,SOPV_205_1,1,1
997,0,SOLAR_205,SOPV_205_0,1,1
998,0,SOLAR_205,SOPV8h_205_1,1,1
999,0,SOLAR_205,SOPV8h_205_0,1,1
1000,0,SOLAR_205,SOPV12h_205_1,1,1
1012,0,SOLAR_206,SOPV12h_206_0,1,1
1002,0,KEEL2_205,TRLV_205_1,1,1
1003,0,KEEL2_205,TRLV_205_0,1,1
1004,0,EL2_206,TRLV_206_1,1,1
1005,0,EL2_206,TRLV_206_0,1,1
1006,0,KEEL2,KEEL00d_206,1,1
1007,0,SOLAR_206,SOPV_206_1,1,1
1008,0,SOLAR_206,SOPV_206_0,1,1
1009,0,SOLAR_206,SOPV8h_206_1,1,1
1010,0,SOLAR_206,SOPV8h_206_0,1,1
1011,0,SOLAR_206,SOPV12h_206_1,1,1
1023,0,SOLAR_207,SOPV12h_207_0,1,1
1013,0,KEEL2_206,TRLV_206_1,1,1
1014,0,KEEL2_206,TRLV_206_0,1,1
1015,0,EL2_207,TRLV_207_1,1,1
1016,0,EL2_207,TRLV_207_0,1,1
1017,0,KEEL2,KEEL00d_207,1,1
1018,0,SOLAR_207,SOPV_207_1,1,1
1019,0,SOLAR_207,SOPV_207_0,1,1
1020,0,SOLAR_207,SOPV8h_207_1,1,1
1021,0,SOLAR_207,SOPV8h_207_0,1,1
1022,0,SOLAR_207,SOPV12h_207_1,1,1
1034,0,SOLAR_208,SOPV12h_208_0,1,1
1024,0,KEEL2_207,TRLV_207_1,1,1
1025,0,KEEL2_207,TRLV_207_0,1,1
1026,0,EL2_208,TRLV_208_1,1,1
1027,0,EL2_208,TRLV_208_0,1,1
1028,0,KEEL2,KEEL00d_208,1,1
1029,0,SOLAR_208,SOPV_208_1,1,1
