Timeslice,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1D,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566
1E,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251
1N,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689
2D,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511,0.041552511
2E,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388,0.012785388
2N,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429,0.022374429
3D,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566
3E,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251
3N,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689
4D,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548
