,DISTANCE,SendTech,INFUEL,INTECH,OUTFUEL
560,39210.49395,,EL2_295,TRHV_295_313,EL2_313
561,39210.49395,,EL2_295,TRHV_295_294,EL2_294
564,39210.49395,,EL2_306,TRHV_306_323,EL2_323
565,39210.49395,,EL2_306,TRHV_306_307,EL2_307
566,39210.49395,,EL2_307,TRHV_307_324,EL2_324
567,39210.49395,,EL2_307,TRHV_307_306,EL2_306
568,39210.49395,,EL2_307,TRHV_307_308,EL2_308
569,39210.49395,,EL2_307,TRHV_307_289,EL2_289
570,39210.49395,,EL2_308,TRHV_308_325,EL2_325
571,39210.49395,,EL2_308,TRHV_308_307,EL2_307
572,39210.49395,,EL2_308,TRHV_308_309,EL2_309
573,39210.49395,,EL2_308,TRHV_308_290,EL2_290
574,39210.49395,,EL2_309,TRHV_309_326,EL2_326
575,39210.49395,,EL2_309,TRHV_309_308,EL2_308
577,39210.49395,KEEL00t00,KEEL2,TRHV_grid_311,EL2_311
578,39210.49395,,EL2_311,TRHV_311_328,EL2_328
579,39210.49395,,EL2_311,TRHV_311_312,EL2_312
580,39210.49395,,EL2_311,TRHV_311_293,EL2_293
581,39210.49395,,EL2_312,TRHV_312_329,EL2_329
582,39210.49395,,EL2_312,TRHV_312_311,EL2_311
583,39210.49395,,EL2_312,TRHV_312_313,EL2_313
584,39210.49395,,EL2_312,TRHV_312_294,EL2_294
585,39210.49395,,EL2_313,TRHV_313_312,EL2_312
586,39210.49395,,EL2_313,TRHV_313_295,EL2_295
587,39210.49395,KEEL00t00,KEEL2,TRHV_grid_313,EL2_313
588,39210.49395,KEEL00t00,KEEL2,TRHV_grid_323,EL2_323
589,39210.49395,,EL2_323,TRHV_323_337,EL2_337
590,39210.49395,,EL2_323,TRHV_323_324,EL2_324
591,39210.49395,,EL2_323,TRHV_323_306,EL2_306
592,39210.49395,,EL2_324,TRHV_324_338,EL2_338
593,39210.49395,,EL2_324,TRHV_324_323,EL2_323
594,39210.49395,,EL2_324,TRHV_324_325,EL2_325
595,39210.49395,,EL2_324,TRHV_324_307,EL2_307
596,39210.49395,,EL2_325,TRHV_325_339,EL2_339
597,39210.49395,,EL2_325,TRHV_325_324,EL2_324
598,39210.49395,,EL2_325,TRHV_325_326,EL2_326
599,39210.49395,,EL2_325,TRHV_325_308,EL2_308
600,39210.49395,,EL2_326,TRHV_326_340,EL2_340
601,39210.49395,,EL2_326,TRHV_326_325,EL2_325
602,39210.49395,,EL2_326,TRHV_326_309,EL2_309
603,39210.49395,KEEL00t00,KEEL2,TRHV_grid_326,EL2_326
604,39210.49395,KEEL00t00,KEEL2,TRHV_grid_328,EL2_328
605,39210.49395,,EL2_328,TRHV_328_329,EL2_329
606,39210.49395,,EL2_328,TRHV_328_311,EL2_311
607,39210.49395,,EL2_329,TRHV_329_328,EL2_328
608,39210.49395,,EL2_329,TRHV_329_312,EL2_312
609,39210.49395,KEEL00t00,KEEL2,TRHV_grid_329,EL2_329
611,39210.49395,,EL2_337,TRHV_337_348,EL2_348
612,39210.49395,,EL2_337,TRHV_337_338,EL2_338
613,39210.49395,,EL2_337,TRHV_337_323,EL2_323
614,39210.49395,,EL2_338,TRHV_338_349,EL2_349
615,39210.49395,,EL2_338,TRHV_338_337,EL2_337
616,39210.49395,,EL2_338,TRHV_338_339,EL2_339
617,39210.49395,,EL2_338,TRHV_338_324,EL2_324
618,39210.49395,,EL2_339,TRHV_339_350,EL2_350
619,39210.49395,,EL2_339,TRHV_339_338,EL2_338
620,39210.49395,,EL2_339,TRHV_339_340,EL2_340
621,39210.49395,,EL2_339,TRHV_339_325,EL2_325
622,39210.49395,,EL2_340,TRHV_340_351,EL2_351
623,39210.49395,,EL2_340,TRHV_340_339,EL2_339
624,39210.49395,,EL2_340,TRHV_340_326,EL2_326
625,39210.49395,KEEL00t00,KEEL2,TRHV_grid_340,EL2_340
628,39210.49395,,EL2_348,TRHV_348_349,EL2_349
629,39210.49395,,EL2_348,TRHV_348_337,EL2_337
630,39210.49395,,EL2_349,TRHV_349_356,EL2_356
631,39210.49395,,EL2_349,TRHV_349_348,EL2_348
632,39210.49395,,EL2_349,TRHV_349_350,EL2_350
633,39210.49395,,EL2_349,TRHV_349_338,EL2_338
634,39210.49395,,EL2_350,TRHV_350_357,EL2_357
635,39210.49395,,EL2_350,TRHV_350_349,EL2_349
636,39210.49395,,EL2_350,TRHV_350_351,EL2_351
637,39210.49395,,EL2_350,TRHV_350_339,EL2_339
638,39210.49395,,EL2_351,TRHV_351_350,EL2_350
639,39210.49395,,EL2_351,TRHV_351_340,EL2_340
640,39210.49395,KEEL00t00,KEEL2,TRHV_grid_351,EL2_351
641,39210.49395,KEEL00t00,KEEL2,TRHV_grid_356,EL2_356
642,39210.49395,,EL2_356,TRHV_356_357,EL2_357
643,39210.49395,,EL2_356,TRHV_356_349,EL2_349
644,39210.49395,,EL2_357,TRHV_357_356,EL2_356
645,39210.49395,,EL2_357,TRHV_357_350,EL2_350
646,39210.49395,KEEL00t00,KEEL2,TRHV_grid_357,EL2_357
650,39210.49395,KEEL00t00,KEEL2,TRHV_grid_372,EL2_372
652,39209.99996,,EL2_377,TRHV_377_3,EL2_3
653,39210.4939,,EL2_377,TRHV_377_378,EL2_378
654,39209.99996,,EL2_378,TRHV_378_4,EL2_4
655,39210.4939,,EL2_378,TRHV_378_377,EL2_377
656,,,EL2_2,TRHV_2_1,EL2_1
657,,,EL2_9,TRHV_9_2,EL2_2
658,,,EL2_1,TRHV_1_2,EL2_2
659,,,EL2_3,TRHV_3_2,EL2_2
660,,,EL2_10,TRHV_10_3,EL2_3
661,,,EL2_2,TRHV_2_3,EL2_3
662,,,EL2_4,TRHV_4_3,EL2_3
663,,,EL2_377,TRHV_377_3,EL2_3
664,,,EL2_11,TRHV_11_4,EL2_4
665,,,EL2_3,TRHV_3_4,EL2_4
666,,,EL2_5,TRHV_5_4,EL2_4
667,,,EL2_378,TRHV_378_4,EL2_4
668,,,EL2_12,TRHV_12_5,EL2_5
669,,,EL2_4,TRHV_4_5,EL2_5
670,,,EL2_6,TRHV_6_5,EL2_5
671,,,EL2_13,TRHV_13_6,EL2_6
672,,,EL2_5,TRHV_5_6,EL2_6
673,,,EL2_14,TRHV_14_7,EL2_7
674,,,EL2_6,TRHV_6_7,EL2_7
675,,,EL2_10,TRHV_10_9,EL2_9
676,,,EL2_2,TRHV_2_9,EL2_9
677,,,EL2_9,TRHV_9_10,EL2_10
678,,,EL2_11,TRHV_11_10,EL2_10
679,,,EL2_3,TRHV_3_10,EL2_10
680,,,EL2_22,TRHV_22_11,EL2_11
681,,,EL2_10,TRHV_10_11,EL2_11
682,,,EL2_12,TRHV_12_11,EL2_11
683,,,EL2_4,TRHV_4_11,EL2_11
684,,,EL2_23,TRHV_23_12,EL2_12
685,,,EL2_11,TRHV_11_12,EL2_12
686,,,EL2_13,TRHV_13_12,EL2_12
687,,,EL2_5,TRHV_5_12,EL2_12
688,,,EL2_24,TRHV_24_13,EL2_13
689,,,EL2_12,TRHV_12_13,EL2_13
690,,,EL2_14,TRHV_14_13,EL2_13
691,,,EL2_6,TRHV_6_13,EL2_13
692,,,EL2_25,TRHV_25_14,EL2_14
693,,,EL2_13,TRHV_13_14,EL2_14
