,pointid,elec,LV_km
0,1.0,0,1.0636469886709718
1,2.0,0,0.6300536333117892
2,3.0,0,1.106600929871377
3,4.0,0,0.7793235937083278
4,5.0,0,0.9469692201233152
5,6.0,0,6.405405769337369
6,8.0,0,2.004734194188145
7,9.0,0,2.6183307568520107
8,10.0,0,2.4401331627877805
9,11.0,0,3.592185143147872
10,12.0,0,2.612663218398945
11,13.0,0,2.664463619075938
12,14.0,0,1.7324596670637127
13,15.0,0,1.1237551991775792
14,16.0,0,0.7232617758862728
15,17.0,0,2.200126184401915
16,18.0,0,3.88532091629842
17,19.0,0,2.2090931667036813
18,20.0,0,2.5149868704862857
19,21.0,0,1.9177220108948951
20,22.0,0,3.2666634077777412
21,23.0,0,3.3099017681748713
22,24.0,0,3.057793757523136
23,25.0,0,1.732459667063713
24,26.0,0,1.1449350852114777
25,27.0,0,0.7974508221314188
26,28.0,0,0.8007393259611518
27,29.0,0,5.905093851978677
28,30.0,0,1.9599456378695093
29,31.0,0,1.6548079145747796
30,32.0,0,1.9433773710233537
31,33.0,0,1.2673882169833335
32,34.0,0,1.5466253976097804
33,35.0,0,5.074367085219314
34,36.0,0,4.464046981526727
35,37.0,0,2.4019084059694134
36,38.0,0,2.237453054511918
37,39.0,0,3.615404538310412
38,40.0,0,3.060375387011388
39,41.0,0,3.177503437249396
40,42.0,0,2.9872483914323933
41,43.0,0,4.724250222446352
42,44.0,0,3.5627031593895477
43,45.0,0,2.0555975868823757
44,46.0,0,3.721256811935394
45,47.0,0,1.933123405769962
46,48.0,0,1.2129486022727836
47,49.0,0,1.7469939543469035
48,50.0,0,4.576316098784842
49,51.0,0,5.193961463283934
50,52.0,0,4.336517027173546
51,53.0,0,2.0300381266438436
52,54.0,0,1.0893194531854433
53,55.0,0,1.2346358393499464
54,56.0,0,3.6922299845698587
55,57.0,0,2.3094634841625297
56,58.0,0,2.137368720831185
57,59.0,0,2.1858224775678896
58,60.0,0,2.882899675804795
59,61.0,0,5.2698272159305874
60,62.0,0,3.743198919001159
61,63.0,0,3.468099751487093
62,64.0,0,4.580138017573879
63,65.0,0,2.1454037257365615
64,66.0,0,4.567048415059695
65,67.0,0,0.44368841682644905
66,68.0,0,0.5534568248343479
67,69.0,0,1.8958273101563803
68,70.0,0,3.8651615714422007
69,71.0,0,2.7963923721315744
70,72.0,0,4.410889915993715
71,73.0,0,2.5233436701957053
72,74.0,0,1.7250812276518002
73,75.0,0,2.8804029131126656
74,76.0,0,2.4541018396552805
75,77.0,0,3.7725363511188457
76,78.0,0,3.85218598980894
77,79.0,0,4.961828189547424
78,80.0,0,3.998357137005038
79,81.0,0,2.5898587836972555
80,82.0,0,0.9058131358176118
81,83.0,0,1.287892201697925
82,84.0,0,2.4360676340264056
83,85.0,0,1.8530882225388112
84,86.0,0,4.327338630864628
85,87.0,0,3.3011035637255133
86,88.0,0,2.4845278495914433
87,89.0,0,3.126440406252734
88,90.0,0,3.123333978193862
89,91.0,0,6.9878319645492795
90,92.0,0,3.1510662146695765
91,93.0,0,2.902202257999529
92,94.0,0,2.9323280760105446
93,95.0,0,5.597852250265471
94,96.0,0,11.01004155091725
95,97.0,0,2.7794829333299553
96,98.0,0,1.5760891684607896
97,99.0,0,4.275260547762692
98,100.0,0,4.5945672343806345
99,101.0,0,3.6957336133945473
100,103.0,0,2.4132247908288686
101,104.0,0,2.368209922527971
102,105.0,0,3.977951568021621
103,106.0,0,2.6757469148250865
104,107.0,0,2.1248091520388734
105,108.0,0,3.227208154535827
106,109.0,0,2.154039239885097
107,110.0,0,2.9891748721397904
108,111.0,0,5.900542388849433
109,112.0,0,4.314227873685149
110,113.0,0,1.7997959642330512
111,114.0,0,2.63301260884614
112,115.0,0,2.540337468412215
113,116.0,0,5.400927236869809
114,117.0,0,4.194882210451219
115,118.0,0,3.367593883882845
116,119.0,0,1.6989600721234799
117,120.0,0,3.195479027438215
118,121.0,0,2.2790454474942745
119,122.0,0,3.210682126007599
