url,name
https://data.mendeley.com/public-files/datasets/z9zfhzk8cr/files/6aaefaad-fbe2-492e-bd45-4c2d8b137801/file_downloaded,Kenya_clusters.zip
https://biogeo.ucdavis.edu/data/gadm3.6/shp/gadm36_KEN_shp.zip,gadm36_KEN_shp.zip
ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2015/KEN/ken_ppp_2015_UNadj.tif,ken_ppp_2015_UNadj.tif
https://energydata.info/dataset/b71146ac-0330-40f5-bd47-e0d20a761e48/resource/caf4f528-e982-4db8-811c-fdbf5322352f/download/roads.zip,roadsKenya.zip
https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//201904/vcmslcfg/SVDNB_npp_20190401-20190430_00N060W_vcmslcfg_v10_c201905191000.tgz,SVDNB_npp_20190401-20190430_00N060W_vcmslcfg_v10_c201905191000.tgz
https://data.ngdc.noaa.gov/instruments/remote-sensing/passive/spectrometers-radiometers/imaging/viirs/dnb_composites/v10//201904/vcmslcfg/SVDNB_npp_20190401-20190430_75N060W_vcmslcfg_v10_c201905191000.tgz,SVDNB_npp_20190401-20190430_75N060W_vcmslcfg_v10_c201905191000.tgz
https://energydata.info/dataset/43e26a70-66be-419d-8fd0-5ed53fa98fd5/resource/ce311dec-c757-42da-86b8-de58160627e0/download/transmission-lines-11kv.zip,11kVtransmissionKenya.zip
https://energydata.info/dataset/43e26a70-66be-419d-8fd0-5ed53fa98fd5/resource/28c470ef-a34f-4010-82e5-c743e5e395a1/download/transmission-lines-33kv.zip,33kVtransmissionKenya.zip
https://energydata.info/dataset/43e26a70-66be-419d-8fd0-5ed53fa98fd5/resource/bf437ae3-866b-4229-9234-06e04c30368a/download/transmission-lines-66kv.zip,66kVtransmissionKenya.zip
https://energydata.info/dataset/43e26a70-66be-419d-8fd0-5ed53fa98fd5/resource/4dfbd761-8961-49d4-a76d-e2ad6bc03ee7/download/transmission-lines-132kv.zip,132kVtransmissionKenya.zip
https://energydata.info/dataset/43e26a70-66be-419d-8fd0-5ed53fa98fd5/resource/39c0185d-3c46-4d25-87d9-39e357a7aaea/download/transmission-lines-220kv.zip,220kVtransmissionKenya.zip
https://energydata.info/dataset/43e26a70-66be-419d-8fd0-5ed53fa98fd5/resource/7d08f0f9-e260-4edd-928d-1532d6c9244a/download/unidentified-grid-network.zip,unidentified-grid-networkKenya.zip
https://energydata.info/dataset/8f3c4f8f-ec01-4eda-b14b-3ae58319ac41/resource/3fe41c27-5428-4f26-9279-63d7d5c632be/download/existing-mini-grids.zip,mini-grid-exisitng.zip
https://energydata.info/dataset/8f3c4f8f-ec01-4eda-b14b-3ae58319ac41/resource/a347eacb-e1de-4c95-8a65-8619fc100a83/download/mini-grids-under-development.zip,minigrid-under-development.zip
https://energydata.info/dataset/84ca7288-1d10-469d-a98d-26643f869367/resource/69216202-4b3b-459f-9d16-1e9f15a4f6d5/download/distribution-transformer.zip,transformersKenya.zip
https://energydata.info/dataset/d163a91c-b626-46c2-9fd3-c51df551a844/resource/254cf187-7cdf-4539-8021-2280342b92a7/download/transmission-stations.zip,transmissionstationsKenya.zip
https://energydata.info/dataset/6882b9c0-85e2-42a0-aa56-44128f549b42/resource/95818e94-d01a-445a-95d7-b46f2cc1d637/download/primary-substations.zip,primary-substationsKenya.zip
https://energydata.info/dataset/2fda191d-c3c6-4002-8c82-daa02008a9e3/resource/849830e2-fcb5-4b42-8d33-e42c7c1e90b4/download/schools.zip,schoolsKenya.zip
